38.8,37.6,79.2,107.2,186.4,2.6,0.42,2.02,46,42,86,114,196,3.33,0.53,2.74,36,30,72,88,174,2.32,0.38,1.79,2
38.0,40.8,83.6,112.0,195.6,2.45,0.44,2.09,46,48,96,152,248,2.85,0.51,2.76,32,32,70,80,150,2.23,0.35,1.82,2
43.2,44.8,78.4,120.0,198.4,2.33,0.4,1.74,48,56,94,136,216,2.83,0.47,1.92,36,28,60,108,172,2.09,0.3,1.45,2
38.0,53.6,87.6,131.2,218.8,2.02,0.47,1.38,48,90,108,148,230,2.83,0.75,1.93,30,38,72,116,202,0.27,0.37,0.19,2
40.4,39.2,71.6,114.8,186.4,2.6,0.38,1.86,44,50,74,124,196,3.19,0.42,2.6,32,32,70,96,166,2.0,0.32,1.4,2
41.6,35.2,79.2,113.2,192.4,2.15,0.38,1.79,50,42,92,122,214,2.63,0.4,2.13,36,30,70,96,166,1.79,0.35,1.62,2
40.4,42.0,77.2,116.8,194.0,2.12,0.41,1.64,50,46,84,136,218,2.86,0.45,1.78,34,38,64,84,164,1.82,0.37,1.32,2
40.0,43.6,72.4,117.6,190.0,2.93,0.4,2.04,44,52,78,144,216,4.49,0.45,3.07,38,34,66,90,156,2.23,0.38,1.46,2
38.4,38.8,74.8,119.2,194.0,2.14,0.39,1.52,40,46,88,134,222,2.25,0.43,1.62,34,34,58,96,154,2.02,0.32,1.38,2
38.4,66.4,106.0,126.8,232.8,2.34,0.48,1.86,52,180,264,234,498,2.68,0.81,1.96,32,34,58,92,156,1.88,0.38,1.79,2
40.4,44.0,80.0,133.2,213.2,2.36,0.39,1.75,46,56,92,150,242,2.84,0.46,2.05,34,38,72,114,186,1.98,0.32,1.45,2
37.6,51.6,85.6,136.0,221.6,2.8,0.45,1.87,50,70,94,168,262,3.25,0.47,2.25,30,44,76,116,204,2.46,0.43,1.55,2
42.4,49.2,92.0,154.0,246.0,2.76,0.4,1.74,44,56,94,162,256,2.97,0.45,2.09,40,36,88,142,232,2.59,0.34,1.54,2
41.6,49.6,93.2,140.8,234.0,2.18,0.43,1.66,50,58,108,162,256,2.41,0.47,1.89,36,42,80,124,204,1.95,0.38,1.39,2
42.8,46.8,92.8,140.0,232.8,2.41,0.42,1.83,54,54,102,146,242,2.76,0.46,1.89,36,38,86,122,224,1.62,0.34,1.74,2
40.4,44.4,80.8,134.8,215.6,2.54,0.39,1.7,46,48,88,150,230,2.8,0.41,1.99,38,40,74,110,184,2.33,0.35,1.41,2
45.2,48.4,90.8,131.2,222.0,2.67,0.42,2.07,60,56,112,148,260,3.05,0.5,2.67,38,42,78,114,196,2.32,0.37,1.84,2
41.6,43.6,83.2,124.8,208.0,2.51,0.41,1.83,56,46,96,136,228,2.94,0.47,1.96,32,42,74,104,178,2.21,0.38,1.61,2
37.6,42.8,76.0,133.6,209.6,2.35,0.39,1.49,40,52,88,146,228,3.25,0.45,2.13,32,36,62,122,184,1.9,0.34,1.01,2
36.8,43.6,76.4,117.6,194.0,2.34,0.43,1.68,42,52,96,138,234,3.07,0.44,2.15,32,28,62,80,144,1.94,0.39,1.35,2
41.2,43.2,84.4,140.0,224.4,2.48,0.38,1.58,46,48,96,154,250,2.92,0.42,1.82,36,36,78,128,206,2.08,0.33,1.37,2
45.6,48.0,84.0,136.4,220.4,2.55,0.39,1.72,54,58,94,156,236,3.17,0.42,1.91,38,36,74,118,192,1.89,0.36,1.43,2
36.8,48.0,79.2,128.0,207.2,2.3,0.44,1.64,48,54,102,142,244,2.66,0.51,2.03,26,44,64,118,182,1.88,0.42,1.07,2
39.2,48.0,82.8,126.8,209.6,2.12,0.44,1.5,50,62,96,154,250,2.65,0.52,1.88,32,40,68,96,188,1.76,0.38,1.07,2
44.0,40.0,75.6,125.6,201.2,2.35,0.36,1.57,62,46,96,140,214,3.0,0.39,1.77,36,32,66,112,190,1.75,0.31,1.38,2
40.0,41.6,81.2,128.0,209.2,2.28,0.39,1.52,46,52,100,144,244,2.49,0.43,1.72,36,32,74,116,190,2.01,0.34,1.28,2
44.4,47.2,86.8,125.6,212.4,2.47,0.42,1.85,58,56,102,136,238,2.77,0.45,2.08,36,40,80,108,188,2.23,0.38,1.7,2
40.4,45.6,83.6,112.0,195.6,2.53,0.45,2.05,44,52,102,136,234,3.65,0.49,2.62,34,38,72,92,164,1.89,0.42,1.72,2
34.4,42.4,72.8,105.2,178.0,3.4,0.45,2.49,42,52,88,142,230,4.71,0.52,3.7,28,26,60,74,138,2.24,0.36,1.41,2
39.2,46.4,81.6,112.4,194.0,2.6,0.46,2.09,46,58,90,126,216,3.01,0.51,2.25,32,38,72,98,180,2.27,0.42,1.95,2
35.6,40.0,71.2,110.0,181.2,2.65,0.42,1.94,44,50,82,124,206,3.19,0.46,2.46,28,32,58,98,158,2.09,0.37,1.6,2
40.4,43.2,82.8,121.2,204.0,2.19,0.42,1.74,50,52,100,146,226,2.45,0.46,2.06,34,34,74,82,156,1.96,0.37,1.31,2
40.8,45.6,81.2,123.6,204.8,2.25,0.42,1.72,46,60,88,138,226,2.57,0.49,1.93,34,38,74,104,178,2.01,0.38,1.55,2
38.4,44.4,84.4,136.4,220.8,2.52,0.41,1.75,46,50,90,146,236,2.83,0.48,1.82,32,40,78,128,206,2.32,0.36,1.67,2
45.6,42.0,79.2,118.0,197.2,2.59,0.38,1.99,48,52,90,130,220,2.97,0.43,2.24,42,38,72,106,178,2.03,0.36,1.68,2
40.8,50.0,91.2,145.6,236.8,2.57,0.42,1.71,44,56,100,160,256,3.0,0.44,1.84,36,42,88,126,216,2.02,0.39,1.5,2
41.6,46.4,86.0,124.0,210.0,2.55,0.43,1.91,46,60,104,146,250,3.42,0.51,2.35,38,40,80,98,180,2.05,0.38,1.63,2
38.0,45.2,81.2,128.8,210.0,2.68,0.42,1.83,42,54,92,136,220,2.92,0.45,2.05,34,42,74,124,198,1.97,0.37,1.21,2
48.0,43.6,89.2,122.4,211.6,2.55,0.4,2.15,64,52,96,144,236,2.96,0.51,2.8,34,38,80,90,186,2.09,0.36,1.61,2
39.6,43.2,80.8,115.6,196.4,2.53,0.43,1.88,46,52,86,136,214,3.26,0.48,2.44,36,34,78,92,170,1.81,0.33,1.41,2
40.8,36.0,73.6,108.8,182.4,2.16,0.37,1.75,44,44,86,128,214,2.57,0.4,2.12,38,30,62,92,154,1.44,0.32,1.18,2
