A_pos_peak_time,MAX_pos_peak_time,MIN_pos_peak_time,A_neg_peak_time,MAX_neg_peak_time,MIN_neg_peak_time,A_close time,MAX_close time,MIN_close time,A_open time,MAX_open time,MIN_open time,A_blink time,MAX_blink time,MIN_blink time,A_peak ratio,MAX_peak ratio,MIN_peak ratio,A_peak dist ratio,MAX_peak dist ratio,MIN_peak dist ratio,A_area ratio,MAX_area ratio,MIN_area ratio,Label
40.0,50.4,79.2,164.8,244.0,2.93,0.36,1.29,44.0,92.0,86.0,200.0,280.0,3.83,0.47,1.4,38.0,26.0,72.0,142.0,220.0,2.53,0.28,1.2,9.0
39.2,36.0,72.4,121.6,194.0,2.43,0.36,1.78,48.0,44.0,82.0,142.0,220.0,3.59,0.38,2.04,26.0,28.0,52.0,104.0,178.0,1.79,0.33,1.46,1.0
38.4,35.2,71.6,100.8,172.4,2.69,0.4,2.2,46.0,44.0,82.0,108.0,190.0,3.89,0.46,3.13,32.0,28.0,66.0,82.0,148.0,1.9,0.31,1.72,1.0
38.0,41.2,80.8,120.0,200.8,2.26,0.42,1.8,42.0,52.0,102.0,138.0,240.0,2.72,0.47,2.1,34.0,34.0,70.0,110.0,182.0,1.92,0.36,1.54,1.0
40.4,37.2,76.0,105.6,181.6,2.23,0.4,1.9,48.0,44.0,92.0,120.0,202.0,2.51,0.44,2.06,34.0,32.0,68.0,92.0,160.0,2.01,0.34,1.68,1.0
36.0,36.8,66.8,93.6,160.4,2.63,0.42,2.3,42.0,48.0,78.0,114.0,188.0,3.63,0.52,3.42,28.0,26.0,56.0,74.0,130.0,2.2,0.34,1.78,1.0
38.8,37.6,79.2,107.2,186.4,2.6,0.42,2.02,46.0,42.0,86.0,114.0,196.0,3.33,0.53,2.74,36.0,30.0,72.0,88.0,174.0,2.32,0.38,1.79,1.0
38.0,40.8,83.6,112.0,195.6,2.45,0.44,2.09,46.0,48.0,96.0,152.0,248.0,2.85,0.51,2.76,32.0,32.0,70.0,80.0,150.0,2.23,0.35,1.82,1.0
43.2,44.8,78.4,120.0,198.4,2.33,0.4,1.74,48.0,56.0,94.0,136.0,216.0,2.83,0.47,1.92,36.0,28.0,60.0,108.0,172.0,2.09,0.3,1.45,1.0
38.0,53.6,87.6,131.2,218.8,2.02,0.47,1.38,48.0,90.0,108.0,148.0,230.0,2.83,0.75,1.93,30.0,38.0,72.0,116.0,202.0,0.27,0.37,0.19,1.0
